id,name,price,category,sku,multi pack,image,url,product,rsp,brand,size,product_code,Retail Ean,vat_rate,description,description_bullets,ingredients_description,other_info,cleaned_name,original_name,multipack,is_multipack,slug
,,,,,,,https://www.bestwaywholesale.co.ukNone,,,,,,,,,,,,,,,True,
,,,,,,,https://www.bestwaywholesale.co.ukNone,,,,,,,,,,,,,,,True,
671407-1,Avant Natural Mineral Water,2.39,Grocery > Soft Drinks > Still Water,671407.0,1.5Ltr × 6 × 1,https://www.bestwaywholesale.co.uk/img/products/full/upl/671407.jpg,https://www.bestwaywholesale.co.uk/product/671407-1,671407,£0.99,,1.5Ltr,671407.0,15060148321142.0,Standard,,[],,[],Avant Natural Mineral Water,Avant Natural Mineral Water,,False,avant-natural-mineral-water
830044-1,CocaCola Original Taste 8 x 330ml PM 5.99,11.49,Grocery > Soft Drinks > Multi Pack Cans,830044.0,330ml × 3 × 1,https://www.bestwaywholesale.co.uk/img/products/250/7/5000112688337.jpg,https://www.bestwaywholesale.co.uk/product/830044-1,Sparkling Soft Drink with Plant Extracts,£5.99,Coca-Cola,330ml,830044.0,5000112688337.0,Standard,Coca?Cola Original Taste is the world's favourite soft drink and has been enjoyed since 1886. You can find Coca?Cola Original Taste in a variety of sizes to suit every lifestyle and occasion.,"['A truly unique & great taste', ""The world's favourite soft drink"", 'Coca-Cola Original Taste, made for sharing', 'Sparkling soft drink', 'Happiness, bottled', 'Carbonated soft drink', 'Flavoured drink', 'Carbonated beverage', 'Delicious and refreshing', 'GMO Free?', 'No Added Preservatives', 'No Intense Sweetners', 'Suitable for Vegetarians', 'Suitable for Vegans']","Carbonated Water, Sugar, Colour (E 150d), Acid (Phosphoric Acid), Natural Flavourings, Caffeine Flavouring","['Free From Celery', 'Free From Cereals Containing Gluten', 'Free From Crustaceans', 'Free From Eggs', 'Free From Fish', 'Free From Lupin', 'Free From Milk', 'Free From Molluscs', 'Free From Mustard', 'Free From Peanuts', 'Free From Rye', 'Free From Sulphur Dioxide/Sulphites', 'Free From Wheat', 'Free From Barley', 'Free From Oats', 'Free From Soya', 'Free From Sesame', 'Free From Genetically Modified Ingredients', 'Contains Sweeteners', 'Pack Type: Can']",Cocacola Original Taste,CocaCola Original Taste 8 x 330ml PM 5.99,"{'count': 8, 'size': 330.0, 'unit': 'ml', 'format': '8x330ml'}",True,cocacola-original-taste
826474-1,Red Bull Energy Drink Peach Edition White Peach 12 x 250ml PM 1.65,9.89,Grocery > Soft Drinks > Energy and Health Drinks,826474.0,250ml × 12 × 1,https://www.bestwaywholesale.co.uk/img/products/250/6/9002490281236.jpg,https://www.bestwaywholesale.co.uk/product/826474-1,Energy Drink with the taste of White Peach,£1.65,Red Bull,250ml,826474.0,9002490281236.0,Standard,Niacin and vitamin B6 contribute to the reduction of tiredness and fatigue as well as to normal energy-yielding metabolism.,"['Vitalizes body and mind®', 'Pasteurised']","Water, Sucrose, Glucose, Acid (Citric Acid), Carbon Dioxide, Taurine (0.4%), Acidity Regulator (Sodium Citrates), Caffeine (0.03%), Vitamins (Niacin, Pantothenic Acid, B6, B12), Flavourings",['Pack Type: Can'],Red Bull Energy Drink Peach Edition White Peach,Red Bull Energy Drink Peach Edition White Peach 12 x 250ml PM 1.65,"{'count': 12, 'size': 250.0, 'unit': 'ml', 'format': '12x250ml'}",True,red-bull-energy-drink-peach-edition-white-peach
808867-1,Avant Mineral Water,2.79,Grocery > Soft Drinks > Still Water,808867.0,5Ltr × 3 × 1,https://www.bestwaywholesale.co.uk/img/products/full/upl/808867.jpg,https://www.bestwaywholesale.co.uk/product/808867-1,808867,£1.99,,5Ltr,808867.0,25060148621153.0,Standard,,[],,[],Avant Mineral Water,Avant Mineral Water,,False,avant-mineral-water
824423-1,Monster Energy Drink Pacific Punch 500ml PM 1.75,10.69,Grocery > Soft Drinks > Energy and Health Drinks,824423.0,500ml × 12 × 1,https://www.bestwaywholesale.co.uk/img/products/250/2/5056784900062.jpg,https://www.bestwaywholesale.co.uk/product/824423-1,"Carbonated Energy Drink with 6% Fruit Juice from Fruit Juice Concentrate, containing Taurine, Caffeine, L-Carnitine and B Vitamins with Sugars and Sweetener",£1.75,Monster,500ml,824423.0,5056784900062.0,Standard,"Typical punch it's Not! Lighter, less sweet and more complex. A flavour as deep and wide as its name sake the great Pacific.Naturally we added our Monster Energy Blend to help put wind in your sails and keep you steady and on course no matter how rough the seas.Pacific Punch your adventure awaits arrgh…Unleash the Salty Beast! ®","['L-Carnitine + Taurine + B Vitamins', 'This product is allergen free', 'This product is GMO free', 'This product is gluten free']","Carbonated Water, Sucrose, Fruit Juices from Concentrate (6%) (Orange, Apple, Raspberry, Cherry, Guava, Pineapple, Passion Fruit), Glucose Syrup, Taurine (0.4%), Acid (Citric Acid), Maltodextrin, Flavourings, Acidity Regulator (Sodium Citrates), Preservatives (Potassium Sorbate, Sodium Benzoate), Caffeine (0.03%), Stabilisers (Acacia Gum, Glycerol Esters of Wood Rosins), Sweetener (Sucralose), Vitamins (B3, B6, B2, B12), L-Carnitine L-Tartrate (0.004%), Sodium Chloride, Inositol, Colours (E129, E133)","['Free From Celery', 'Free From Cereals Containing Gluten', 'Free From Crustaceans', 'Free From Eggs', 'Free From Fish', 'Free From Lupin', 'Free From Milk', 'Free From Molluscs', 'Free From Mustard', 'Free From Nuts', 'Free From Peanuts', 'Free From Sulphur Dioxide/Sulphites', 'Free From Soya', 'Free From Sesame', 'Free From Genetically Modified Ingredients', 'Contains Sweeteners', 'Recycling Info: Recycle Pack', 'Pack Type: Can']",Monster Energy Drink Pacific Punch,Monster Energy Drink Pacific Punch 500ml PM 1.75,,False,monster-energy-drink-pacific-punch
824419-1,Monster Energy Drink Mixed Punch 500ml PM 1.75,10.69,Grocery > Soft Drinks > Energy and Health Drinks,824419.0,500ml × 12 × 1,https://www.bestwaywholesale.co.uk/img/products/250/2/5061013949972.jpg,https://www.bestwaywholesale.co.uk/product/824419-1,"Carbonated Energy Drink with 5.3% Fruit Juice from Juice Concentrate, Taurine, Caffeine, L-Carnitine and B Vitamins with Sugars and Sweetener.",£1.75,Monster,500ml,824419.0,5061013949972.0,Standard,"There's always someone who likes to mix things up the party. The DJ mixing the music or someone mixing the punch bowl to get the party rolling!At Monster we like to stir things up a bit too and inevitably our next great concoction comes to life.Monster Mixed, a tropical punch sensation packed with a full load of our Monster Energy blend. It's sure to get the party started, day or night!","['This product is GMO free', 'This product is gluten free', 'L-Carnitine + Taurine + B-Vitamins']","Carbonated Water, Sucrose, Fruit Juices from Concentrate (5.3%) (Apple, Cherry, Mango, Cranberry, Banana), Glucose Syrup, Taurine (0.4%), Acid (Citric Acid), Acidity Regulator (Sodium Citrates), Flavourings, Thickener (Pectins), Preservatives (Potassium Sorbate, Sodium Benzoate), Caffeine (0.03%), Sweetener (Sucralose), Vitamins (B3, B6, B2, B12), Colours (E120, E163), L-Carnitine L-Tartrate (0.004%), Stabilisers (Acacia Gum, Glycerol Esters of Wood Rosins), Sodium Chloride, Inositol, Maltodextrin","['Free From Celery', 'Free From Cereals Containing Gluten', 'Free From Crustaceans', 'Free From Eggs', 'Free From Fish', 'Free From Lupin', 'Free From Milk', 'Free From Molluscs', 'Free From Mustard', 'Free From Nuts', 'Free From Peanuts', 'Free From Sulphur Dioxide/Sulphites', 'Free From Soya', 'Free From Sesame', 'Free From Genetically Modified Ingredients', 'Contains Sweeteners', 'Recycling Info: Recycle Pack', 'Pack Type: Can']",Monster Energy Drink Mixed Punch,Monster Energy Drink Mixed Punch 500ml PM 1.75,,False,monster-energy-drink-mixed-punch
827211-1,Dr Pepper 6 x 2L PM 2.15,7.29,Grocery > Soft Drinks > 2 and 3 Ltr Bottles,827211.0,2Ltr × 6 × 1,https://www.bestwaywholesale.co.uk/img/products/250/7/5017726449537.jpg,https://www.bestwaywholesale.co.uk/product/827211-1,Sparkling Fruit Flavour Soft Drink with Sugar and Sweeteners,£2.15,Dr Pepper,2Ltr,827211.0,5000112684612.0,Standard,"I don't know what it is, but I like it! For over a century, Dr Pepper's truly unique and wonderfully weird taste has been impossible to describe. A taste so misunderstood, yet confusingly good. A secret blend of 23 flavours creates a deliciously indescribable taste like nothing else out there. The wonderful weirdo sitting in your fridge- refreshing, tasty and surprisingly good, simply served straight over ice. Grab it now, thank us later! So odd, so good, So Misunderstood®","['GMO free, gluten free and allergen free', 'Added Preservatives', 'Added Colours', 'Intense Sweetners', 'Suitable for Vegans', 'Suitable for Vegetarians']","Carbonated Water, Sugar, Colour (Caramel E150d), Acid (Phosphoric Acid), Sweeteners (Aspartame, Acesulfame K), Preservative (Potassium Sorbate), Flavourings including Caffeine","['Free From Celery', 'Free From Cereals Containing Gluten', 'Free From Crustaceans', 'Free From Eggs', 'Free From Fish', 'Free From Lupin', 'Free From Milk', 'Free From Molluscs', 'Free From Mustard', 'Free From Nuts', 'Free From Peanuts', 'Free From Rye', 'Free From Sulphur Dioxide/Sulphites', 'Free From Wheat', 'Free From Barley', 'Free From Oats', 'Free From Soya', 'Free From Sesame', 'Free From Genetically Modified Ingredients', 'Contains Sweeteners', 'Pack Type: Wrap']",Dr Pepper,Dr Pepper 6 x 2L PM 2.15,"{'count': 6, 'size': 2.0, 'unit': 'l', 'format': '6x2l'}",True,dr-pepper
820301-1,Diet Coke 2L PM 2.29,7.27,Grocery > Soft Drinks > 2 and 3 Ltr Bottles,820301.0,2Ltr × 6 × 1,https://www.bestwaywholesale.co.uk/img/products/250/8/5000112669688.jpg,https://www.bestwaywholesale.co.uk/product/820301-1,Sparkling Low Calorie Soft Drink with Plant Extracts with Sweeteners,£2.29,Diet Coke,2Ltr,820301.0,5000112669688.0,Standard,"Celebrating that unapologetic attitude that comes with knowing who you are and what you're into. Love what you love, Diet Coke.Add some sparkle to your day without the sugar or calories, with a crisp, refreshing Diet Coke!","['Crisp and refreshing with no sugar and no calories', 'Suitable for Vegans', 'Suitable for Vegetarians']","Carbonated Water, Colour (Caramel E150d), Sweeteners (Aspartame, Acesulfame K), Natural Flavourings, Caffeine Flavouring, Acids (Phosphoric Acid, Citric Acid)","['Free From Celery', 'Free From Cereals Containing Gluten', 'Free From Crustaceans', 'Free From Eggs', 'Free From Fish', 'Free From Lupin', 'Free From Milk', 'Free From Molluscs', 'Free From Mustard', 'Free From Nuts', 'Free From Peanuts', 'Free From Rye', 'Free From Sulphur Dioxide/Sulphites', 'Free From Wheat', 'Free From Barley', 'Free From Oats', 'Free From Soya', 'Free From Sesame', 'Contains Sweeteners', 'Pack Type: Plastic Bottle']",Diet Coke,Diet Coke 2L PM 2.29,,False,diet-coke
